cve_id,cve_id_year,published,last_modified,time_to_first_enrichment_days,nvd_vuln_status,cna_shortName,cvss3_1_cna,cvss3_1_nvd,cvss3_1_adp,cvss4_0_cna,cvss4_0_nvd,cvss4_0_adp,cvss_scores_all_agree,cwe_cna,cwe_nvd,cwe_adp,has_cpe_applicability,has_packageURL,ssvc_exploitation,ssvc_automatable,ssvc_tech_impact,kev_listed,n_references,n_ref_tag_patch,n_ref_tag_exploit,n_ref_tag_vendor_advisory,n_ref_tag_third_party_advisory,cvelistv5_first_commit_at,cvelistv5_last_commit_at,cvelistv5_n_commits,vulnrichment_first_commit_at,vulnrichment_last_commit_at,vulnrichment_n_commits,nvd_fkie_first_observed_at,nvd_fkie_last_modified_at,nvd_fkie_n_modifications
CVE-2017-14093,2017,2017-12-16T02:29:09.120,2025-04-20T01:37:25.860,2681,Deferred,trendmicro,,,,,,,true,,CWE-79,,true,false,,,,false,4,2,2,2,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14094,2017,2018-01-19T19:29:00.467,2024-11-21T03:12:07.820,2497,Modified,trendmicro,,,,,,,true,CWE-78,CWE-74,,true,false,,,,false,8,0,2,2,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14095,2017,2018-01-19T19:29:00.517,2024-11-21T03:12:07.940,2497,Modified,trendmicro,,,,,,,true,CWE-98,CWE-829,,true,false,,,,false,8,0,2,2,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14096,2017,2018-01-19T19:29:00.577,2024-11-21T03:12:08.050,2497,Modified,trendmicro,,,,,,,true,,CWE-79,,true,false,,,,false,8,0,2,2,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14097,2017,2018-01-19T19:29:00.657,2024-11-21T03:12:08.160,2497,Modified,trendmicro,,,,,,,true,,,,true,false,,,,false,8,0,2,2,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14098,2017,2017-09-02T16:29:00.240,2025-04-20T01:37:25.860,2786,Deferred,mitre,,,,,,,true,,CWE-20,,true,false,,,,false,10,4,0,4,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14099,2017,2017-09-02T16:29:00.287,2025-04-20T01:37:25.860,2786,Deferred,mitre,,,,,,,true,,CWE-200,,true,false,,,,false,14,4,0,2,8,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14100,2017,2017-09-02T16:29:00.333,2025-04-20T01:37:25.860,2786,Deferred,mitre,,,,,,,true,,CWE-78,,true,false,,,,false,12,4,0,2,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14101,2017,2017-12-15T18:29:00.230,2025-04-20T01:37:25.860,2682,Deferred,mitre,,,,,,,true,,CWE-611,,true,false,,,,false,2,0,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14102,2017,2017-09-01T05:29:00.250,2025-04-20T01:37:25.860,2787,Deferred,mitre,,,,,,,true,,CWE-665,,true,false,,,,false,4,0,0,0,4,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14103,2017,2017-09-01T13:29:00.477,2025-04-20T01:37:25.860,2787,Deferred,mitre,,,,,,,true,,CWE-416,,true,false,,,,false,4,4,0,0,4,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14105,2017,2017-09-01T17:29:00.213,2025-04-20T01:37:25.860,2787,Deferred,mitre,,,,,,,true,,CWE-20,,true,false,,,,false,2,2,2,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14106,2017,2017-09-01T16:29:00.377,2025-04-20T01:37:25.860,2787,Deferred,mitre,,,,,,,true,,CWE-369,,true,false,,,,false,24,4,0,0,4,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14107,2017,2017-09-01T17:29:00.260,2025-04-20T01:37:25.860,2787,Deferred,mitre,,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,,,,,true,,CWE-770,,true,false,,,,false,6,4,0,0,6,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14108,2017,2017-09-05T06:29:00.243,2025-04-20T01:37:25.860,2783,Deferred,mitre,,,,,,,true,,CWE-400,,true,false,,,,false,6,0,2,0,4,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-1411,2017,2018-08-06T14:29:00.450,2024-11-21T03:21:50.493,2298,Modified,ibm,,,,,,,true,,CWE-522,,true,false,,,,false,4,2,0,2,0,2023-03-28T09:12:34Z,2026-02-19T19:03:31Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14111,2017,2017-11-17T20:29:00.323,2025-04-20T01:37:25.860,2710,Deferred,mitre,,,,,,,true,,CWE-522,,true,false,,,,false,6,0,0,2,4,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,3,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14113,2017,2017-09-14T15:29:00.310,2023-11-07T02:38:51.057,2244,Rejected,qnap,,,,,,,true,,,,false,false,,,,false,0,0,0,0,0,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,2,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
CVE-2017-14114,2017,2017-09-02T16:29:00.363,2025-04-20T01:37:25.860,2786,Deferred,mitre,,,,,,,true,,CWE-200,,true,false,,,,false,2,0,0,0,2,2023-03-28T09:12:34Z,2026-02-19T18:13:19Z,4,,,,2026-01-19T00:59:06Z,2026-01-19T00:59:06Z,1
